"id","governorate_id","name_en","name_ar"
"00d7fb66-ed91-479a-bddf-49679ee75f2f","b8db1201-8bfb-462f-809c-798b2bf52c15","El Soyof","السيوف"
"012b75d4-f674-4454-82cf-cde88a8d4b3d","352705bb-8b94-45b1-8e1f-529db29a6dc1","Mout","موط"
"014c3966-b518-4e58-9760-654a48c1a053","13ce5741-79a2-4275-bd7a-dabf97c5d4a3","Dayrout","ديروط"
"01d5ef0b-4048-4632-bc18-20ba771ed5cd","b8db1201-8bfb-462f-809c-798b2bf52c15","Naseria","الناصرية"
"026a8e20-f662-4f95-ad89-a0004ea330cd","b327b449-1086-4f24-8198-8687626148e5","Taba","طابا"
"0346ea14-ce49-4589-b168-3416c7b07027","91204aba-7e09-43eb-a90b-b73c9a529510","Tahta","طهطا"
"036c9b52-4591-40f7-a277-5540207eb787","53b9e522-2a1e-4ac7-b67c-2e11dc1b9414","Kafr El Sheikh Downtown","وسط البلد كفر الشيخ"
"03a8b79f-fbfe-47fd-b2ab-845858aa4218","b8db1201-8bfb-462f-809c-798b2bf52c15","Abu Qir","ابو قير"
"0441a915-8583-43ac-8483-e0013fe51169","06c92782-bd90-4b14-9f42-47c0f036bc2a","Qaha","قها"
"04b12909-0d23-4743-a6c1-8a28ab1c9eb3","b8db1201-8bfb-462f-809c-798b2bf52c15","Al Mamurah","المعمورة"
"063c7f5c-5c10-4fce-b960-e2687486bb42","f41e715d-4d7c-4468-aaa1-47a00a9b9750","Al-Radisiyah","الرديسية"
"06ea2814-62cb-46ae-9ad2-4c2bbb73d34f","a26a55b6-da6d-4307-b85f-27bffe1c0613","Alarab","العرب"
"079d2240-37ac-410e-879f-b8a086cf0932","0e031498-ebc2-49fa-92fa-ff902e8670b9","Dar Al Salam","دار السلام"
"07a029ff-02a3-44fd-b365-a0ef5c84e5b7","f41e715d-4d7c-4468-aaa1-47a00a9b9750","Drau","دراو"
"0801a9a8-3695-43e1-a696-d83dd0827192","9c46ad38-28c4-4617-8e5f-37fb080fd935","Sherbin","شربين"
"089280ce-f73e-44ea-ba8a-3d3e64a59f0b","68d03055-8404-4292-b234-7650a05e2b85","Manshiyet Al Bakari","منشأة البكاري"
"08a60a81-39c0-4ace-a13d-ca40b4b46b86","352705bb-8b94-45b1-8e1f-529db29a6dc1","El Kharga","الخارجة"
"08f55c89-9d73-4b61-ad71-7d4f226c4fd8","b327b449-1086-4f24-8198-8687626148e5","Sharm El-Shaikh","شرم الشيخ"
"09682155-8e3f-4fa2-8322-422088eccaf5","9c46ad38-28c4-4617-8e5f-37fb080fd935","Mataria","المطرية"
"09a1b002-a3e4-49bf-b61a-2d8202c3c781","a26a55b6-da6d-4307-b85f-27bffe1c0613","Mubarak","حى مبارك"
"0af74234-cdb7-4cf9-8098-463dbc7abc89","a027fbef-4a40-4e92-9a1f-f39598a71b59","Marsa Matrouh","مرسى مطروح"
"0be0614e-a4b9-4f05-93b1-ebd7be4d9cbc","0e031498-ebc2-49fa-92fa-ff902e8670b9","Ain Shams","عين شمس"
"0cc28706-e2d6-442f-81ba-f37bb41a2c6d","e45f031f-e7a0-4119-a654-d6080a9883c0","Meloy","ملوي"
"0cd63e86-cfc9-4813-86e3-e46016bbcda2","13ce5741-79a2-4275-bd7a-dabf97c5d4a3","Assiut","أسيوط"
"0da52743-cd6c-4907-857c-72a7e479c1b8","44f2ea24-a065-49a1-be21-ae0a2c581a76","Tamiya","طامية"
"0e92ea5f-009d-40b2-833d-62e10fce74af","0e031498-ebc2-49fa-92fa-ff902e8670b9","Sahel","الساحل"
"107204a3-af1d-47a3-8591-baed83e4df41","53b9e522-2a1e-4ac7-b67c-2e11dc1b9414","Baltim","بلطيم"
"109d5cd3-d2ac-4889-a75e-2346ba1d634f","68d03055-8404-4292-b234-7650a05e2b85","Saft Allaban","صفط اللبن"
"123339f4-ca96-4f3f-9a96-99f43fb00522","079c5bd3-7c9d-4a3b-a0a0-3bfeef68aaea","Mashtoul El Souq","مشتول السوق"
"12a12581-4fbf-45b0-9058-9bed4cba56c2","79d1b04c-b032-402e-8998-9ac689aac90c","Shubrakhit","شبراخيت"
"13425aff-3184-452b-97dd-bebd35cd0cb3","284fdf07-79e2-4f7c-b66c-aa4ee6b0ba2c","Samannoud","سمنود"
"13c59fe1-b488-4440-a30e-8e176453e627","e45f031f-e7a0-4119-a654-d6080a9883c0","Deir Mawas","دير مواس"
"13eafd2c-9236-459a-bb74-a1fae71b61b0","e45f031f-e7a0-4119-a654-d6080a9883c0","Magagha","مغاغة"
"14138ca7-6161-4a61-93de-67c22740975c","079c5bd3-7c9d-4a3b-a0a0-3bfeef68aaea","Deirb Negm","ديرب نجم"
"1675485f-9425-422a-9d2c-701cac82a2de","79d1b04c-b032-402e-8998-9ac689aac90c","Kom Hamada","كوم حمادة"
"1739667f-b0af-45b2-be54-cd01f18fa050","284fdf07-79e2-4f7c-b66c-aa4ee6b0ba2c","Zefta","زفتى"
"18234e0e-8006-41a2-aa77-1d12d37e3f30","53b9e522-2a1e-4ac7-b67c-2e11dc1b9414","Burg Al Burullus","برج البرلس"
"1919cd76-8c70-490a-9fc0-c0b59a402b18","0e031498-ebc2-49fa-92fa-ff902e8670b9","Aldarb Alahmar","الدرب الاحمر"
"1a3cc25c-e259-40ea-a29c-53a4c4588628","79d1b04c-b032-402e-8998-9ac689aac90c","Delengat","الدلنجات"
"1b979c6e-e9eb-4faf-95e9-a8ab12f4aa68","a027fbef-4a40-4e92-9a1f-f39598a71b59","North Coast","الساحل الشمالى"
"1c18c623-5c2f-4a91-888b-b58bc1da0f59","06c92782-bd90-4b14-9f42-47c0f036bc2a","Mostorod","مسطرد"
"1c212e7f-b66f-494d-8839-045566fb9d72","68d03055-8404-4292-b234-7650a05e2b85","Faisal","فيصل"
"1c90b8bc-c236-473d-ae22-b91a65708d7d","079c5bd3-7c9d-4a3b-a0a0-3bfeef68aaea","Al Ibrahimiyah","الإبراهيمية"
"1d468075-f9b5-47cc-9a4f-2f023c41c7de","68d03055-8404-4292-b234-7650a05e2b85","ManshiyetAl Qanater","منشأة القناطر"
"1ea23486-97aa-4ab1-bbcf-84c544dacf0b","91204aba-7e09-43eb-a90b-b73c9a529510","Albalina","البلينا"
"2013688e-819d-4883-997e-9c005bf96987","42108f76-6716-46d3-a351-73e9579427df","Naqada","نقادة"
"2104f385-e035-4cfd-b35a-7f5a5f324e12","79d1b04c-b032-402e-8998-9ac689aac90c","Rashid","رشيد"
"220891cf-a984-4335-b954-5ad213ce85d9","79d1b04c-b032-402e-8998-9ac689aac90c","New Nubaria","النوبارية الجديدة"
"237f489b-0753-4120-8596-d260550a27ad","79d1b04c-b032-402e-8998-9ac689aac90c","Abu al-Matamir","أبو المطامير"
"23ba2db2-c9d1-4c19-bc13-4f4ca93c6770","0e031498-ebc2-49fa-92fa-ff902e8670b9","El-Khalifa","الخليفة"
"2429ee49-8eb2-4844-8e23-0cc00a7417ce","e45f031f-e7a0-4119-a654-d6080a9883c0","Madinat El Fekria","المدينة الفكرية"
"24c636bb-0b1f-451e-870f-9c63ff18c720","0e031498-ebc2-49fa-92fa-ff902e8670b9","Rehab","الرحاب"
"25109ac7-a342-40c4-8aac-9e541c131154","9c46ad38-28c4-4617-8e5f-37fb080fd935","Gamasa","جمصة"
"2594f865-fd9c-4c1a-a3a6-f4c67bd058fe","3b678af7-4d15-4d54-abec-90d75e3d63da","alsaru","السرو"
"265505da-fece-472b-8530-4686e2c6465a","53b9e522-2a1e-4ac7-b67c-2e11dc1b9414","Kafr El Sheikh","كفر الشيخ"
