title,skippedQuantity,skippedUnitCost,skippedUnit,skippedSourceFile,skippedSourceSheet,keptQuantity,keptUnitCost,keptUnit,keptSourceFile,keptSourceSheet
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو عضو,0,,,السباكة.xls,السباكة,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمرداش,0,,,السباكة.xls,السباكة,0,,,الدهانات.xls,الدهانات
أمين مخزن عضو,0,,,المعادن - الأستانلس.xls,الواح س س,0,,,المعادن - الأستانلس.xls,الواح س س
أ. علاء جودة م. مصطفى الحناوى,0,,,المعادن - الأستانلس.xls,الواح س س,0,,,المعادن - الأستانلس.xls,الواح س س
اسياخ SST مبروم 25مم,2,0,count,المعادن - الأستانلس.xls,مواسير,1,0,count,المعادن - الأستانلس.xls,مواسير
أمين مخزن عضو عضو,0,,,المعادن - الأستانلس.xls,مواسير,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضا الدمرداش,0,,,المعادن - الأستانلس.xls,مواسير,0,,,المعادن - الأستانلس.xls,مواسير
أمين مخزن عضو عضو,0,,,المعادن - الأستانلس.xls,حلل س س,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضا الدمرداش,0,,,المعادن - الأستانلس.xls,حلل س س,0,,,المعادن - الأستانلس.xls,مواسير
أمين مخزن عضو عضو,0,,,المعادن - الأستانلس.xls,حلل س س,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحناوى أ. رضا الدمرداش,0,,,المعادن - الأستانلس.xls,حلل س س,0,,,المعادن - الأستانلس.xls,مواسير
أمين مخزن عضو عضو,0,,,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج,0,,,الأرتيلون والرخام.xls,الارتيلون
أمين مخزن عضو عضو,0,,,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج,0,,,الأرتيلون والرخام.xls,الارتيلون
أ. علاء جودة م. مصطفى الحفناوى أ. رضا الدمراداش,0,,,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج,0,,,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج
أمين مخزن عضو عضو,0,,,المعادن - صاج وحديد.xls, مخزن الحديد والواح الصاج,0,,,الأرتيلون والرخام.xls,الارتيلون
